"physical_id","last_visited","snapshot"
"114891","2017-02-09T08:47:00.000","2017-02-09T08:53:14.000"
"160769","2017-02-09T06:45:00.000","2017-02-09T08:53:14.000"
"66249","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"160663","2017-02-09T08:36:00.000","2017-02-09T08:53:14.000"
"114874","2017-02-09T06:45:00.000","2017-02-09T08:53:14.000"
"160704","2017-02-09T06:39:00.000","2017-02-09T08:53:14.000"
"114323","2017-02-09T08:24:00.000","2017-02-09T08:53:14.000"
"4018","2017-02-09T08:24:00.000","2017-02-09T08:53:14.000"
"99643","2017-02-09T03:46:00.000","2017-02-09T08:53:14.000"
"53653",,"2017-02-09T08:53:14.000"
"114912","2017-02-09T08:11:00.000","2017-02-09T08:53:14.000"
"99366",,"2017-02-09T08:53:14.000"
"2735",,"2017-02-09T08:53:14.000"
"114313","2017-02-09T08:46:00.000","2017-02-09T08:53:14.000"
"114930","2017-02-09T08:25:00.000","2017-02-09T08:53:14.000"
"114294","2017-02-09T08:44:00.000","2017-02-09T08:53:14.000"
"114931","2017-02-09T08:25:00.000","2017-02-09T08:53:14.000"
"3291","2017-02-09T08:44:00.000","2017-02-09T08:53:14.000"
"2757","2017-02-09T03:41:00.000","2017-02-09T08:53:14.000"
"130930","2017-02-09T08:28:00.000","2017-02-09T08:53:14.000"
"86347","2017-02-09T08:49:00.000","2017-02-09T08:53:14.000"
"131744",,"2017-02-09T08:53:14.000"
"72689","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"1620",,"2017-02-09T08:53:14.000"
"144959",,"2017-02-09T08:53:14.000"
"130970",,"2017-02-09T08:53:14.000"
"66168",,"2017-02-09T08:53:14.000"
"72553",,"2017-02-09T08:53:14.000"
"79456","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"130952",,"2017-02-09T08:53:14.000"
"2756","2017-02-09T06:33:00.000","2017-02-09T08:53:14.000"
"86348",,"2017-02-09T08:53:14.000"
"72683","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"131747",,"2017-02-09T08:53:14.000"
"144965",,"2017-02-09T08:53:14.000"
"131738",,"2017-02-09T08:53:14.000"
"131737","2017-02-09T05:15:00.000","2017-02-09T08:53:14.000"
"66160",,"2017-02-09T08:53:14.000"
"66167",,"2017-02-09T08:53:14.000"
"130951","2017-02-09T06:54:00.000","2017-02-09T08:53:14.000"
"130971",,"2017-02-09T08:53:14.000"
"72555",,"2017-02-09T08:53:14.000"
"104704","2017-02-09T06:32:00.000","2017-02-09T08:53:14.000"
"53654",,"2017-02-09T08:53:14.000"
"66169",,"2017-02-09T08:53:14.000"
"1490","2017-02-09T04:54:00.000","2017-02-09T08:53:14.000"
"144961","2017-02-09T05:56:00.000","2017-02-09T08:53:14.000"
"130468","2017-02-09T07:20:00.000","2017-02-09T08:53:14.000"
"79353",,"2017-02-09T08:53:14.000"
"144964",,"2017-02-09T08:53:14.000"
"1494","2017-02-09T08:13:00.000","2017-02-09T08:53:14.000"
"131748","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"131745",,"2017-02-09T08:53:14.000"
"66170",,"2017-02-09T08:53:14.000"
"86367",,"2017-02-09T08:53:14.000"
"2754",,"2017-02-09T08:53:14.000"
"146508",,"2017-02-09T08:53:14.000"
"144954",,"2017-02-09T08:53:14.000"
"72573",,"2017-02-09T08:53:14.000"
"79457","2017-02-09T08:09:00.000","2017-02-09T08:53:14.000"
"131751",,"2017-02-09T08:53:14.000"
"144957",,"2017-02-09T08:53:14.000"
"130467",,"2017-02-09T08:53:14.000"
"72690","2017-02-09T07:20:00.000","2017-02-09T08:53:14.000"
"72552",,"2017-02-09T08:53:14.000"
"86308","2017-02-09T08:18:00.000","2017-02-09T08:53:14.000"
"165077",,"2017-02-09T08:53:14.000"
"165076","2017-02-09T08:08:00.000","2017-02-09T08:53:14.000"
"131740",,"2017-02-09T08:53:14.000"
"72682","2017-02-09T07:20:00.000","2017-02-09T08:53:14.000"
"1619","2017-02-09T08:46:00.000","2017-02-09T08:53:14.000"
"72572",,"2017-02-09T08:53:14.000"
"130469",,"2017-02-09T08:53:14.000"
"144952",,"2017-02-09T08:53:14.000"
"146504",,"2017-02-09T08:53:14.000"
"72574",,"2017-02-09T08:53:14.000"
"86298",,"2017-02-09T08:53:14.000"
"130466",,"2017-02-09T08:53:14.000"
"144962",,"2017-02-09T08:53:14.000"
"144948",,"2017-02-09T08:53:14.000"
"4195","2017-02-09T06:38:00.000","2017-02-09T08:53:14.000"
"130931","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"144951","2017-02-09T08:34:00.000","2017-02-09T08:53:14.000"
"130950",,"2017-02-09T08:53:14.000"
"144955",,"2017-02-09T08:53:14.000"
"66162",,"2017-02-09T08:53:14.000"
"1624","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"115657",,"2017-02-09T08:53:14.000"
"144960",,"2017-02-09T08:53:14.000"
"72575",,"2017-02-09T08:53:14.000"
"130470",,"2017-02-09T08:53:14.000"
"131741",,"2017-02-09T08:53:14.000"
"66163",,"2017-02-09T08:53:14.000"
"4173","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"72554",,"2017-02-09T08:53:14.000"
"1623","2017-02-09T08:26:00.000","2017-02-09T08:53:14.000"
"146512","2017-02-09T08:13:00.000","2017-02-09T08:53:14.000"
"144963",,"2017-02-09T08:53:14.000"
"86307","2017-02-09T08:51:00.000","2017-02-09T08:53:14.000"
"79461","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"72686",,"2017-02-09T08:53:14.000"
"1493","2017-02-09T08:13:00.000","2017-02-09T08:53:14.000"
"144950",,"2017-02-09T08:53:14.000"
"146511",,"2017-02-09T08:53:14.000"
"144958","2017-02-09T06:35:00.000","2017-02-09T08:53:14.000"
"79460",,"2017-02-09T08:53:14.000"
"130972","2017-02-09T08:34:00.000","2017-02-09T08:53:14.000"
"66161",,"2017-02-09T08:53:14.000"
"130932",,"2017-02-09T08:53:14.000"
"55458","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"79351",,"2017-02-09T08:53:14.000"
"79352",,"2017-02-09T08:53:14.000"
"131750",,"2017-02-09T08:53:14.000"
"144956",,"2017-02-09T08:53:14.000"
"79350",,"2017-02-09T08:53:14.000"
"1489","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"1618","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"72691","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"96577","2017-02-09T04:56:00.000","2017-02-09T08:53:14.000"
"155825",,"2017-02-09T08:53:14.000"
"86306","2017-02-09T08:49:00.000","2017-02-09T08:53:14.000"
"155826","2017-02-09T04:54:00.000","2017-02-09T08:53:14.000"
"91047","2017-02-09T03:49:00.000","2017-02-09T08:53:14.000"
"123391","2017-02-09T08:36:00.000","2017-02-09T08:53:14.000"
"3290","2017-02-09T07:52:00.000","2017-02-09T08:53:14.000"
"123393","2017-02-09T07:52:00.000","2017-02-09T08:53:14.000"
"123390","2017-02-09T08:40:00.000","2017-02-09T08:53:14.000"
"3319","2017-02-09T08:40:00.000","2017-02-09T08:53:14.000"
"114274","2017-02-09T08:44:00.000","2017-02-09T08:53:14.000"
"3318","2017-02-09T08:29:00.000","2017-02-09T08:53:14.000"
"91048","2017-02-09T04:54:00.000","2017-02-09T08:53:14.000"
"55457","2017-02-09T08:27:00.000","2017-02-09T08:53:14.000"
"105628",,"2017-02-09T08:53:14.000"
"72693","2017-02-09T08:09:00.000","2017-02-09T08:53:14.000"
"1617","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"72694","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"95597","2017-02-09T08:47:00.000","2017-02-09T08:53:14.000"
"72695","2017-02-09T08:25:00.000","2017-02-09T08:53:14.000"
"72692","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"1488","2017-02-09T08:34:00.000","2017-02-09T08:53:14.000"
"91252","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"114955","2017-02-09T08:47:00.000","2017-02-09T08:53:14.000"
"53864","2017-02-09T08:05:00.000","2017-02-09T08:53:14.000"
"131573",,"2017-02-09T08:53:14.000"
"72697","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"131574",,"2017-02-09T08:53:14.000"
"3315","2017-02-09T08:47:00.000","2017-02-09T08:53:14.000"
"3313",,"2017-02-09T08:53:14.000"
"3288","2017-02-09T07:52:00.000","2017-02-09T08:53:14.000"
"3287",,"2017-02-09T08:53:14.000"
"131565",,"2017-02-09T08:53:14.000"
"114956","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"3286",,"2017-02-09T08:53:14.000"
"171479","2017-02-09T08:36:00.000","2017-02-09T08:53:14.000"
"53813","2017-02-09T08:04:00.000","2017-02-09T08:53:14.000"
"1616","2017-02-09T08:38:00.000","2017-02-09T08:53:14.000"
"3314","2017-02-09T07:18:00.000","2017-02-09T08:53:14.000"
"3316","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
"1487","2017-02-09T08:34:00.000","2017-02-09T08:53:14.000"
"3285","2017-02-09T08:34:00.000","2017-02-09T08:53:14.000"
"96576",,"2017-02-09T08:53:14.000"
"72696","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"168669","2017-02-09T08:31:00.000","2017-02-09T08:53:14.000"
"168664","2017-02-09T08:32:00.000","2017-02-09T08:53:14.000"
"168666","2017-02-09T07:39:00.000","2017-02-09T08:53:14.000"
"98328","2017-02-09T07:44:00.000","2017-02-09T08:53:14.000"
"168665","2017-02-09T08:41:00.000","2017-02-09T08:53:14.000"
"16692","2017-02-09T08:13:00.000","2017-02-09T08:53:14.000"
"2101","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"2100","2017-02-09T08:48:00.000","2017-02-09T08:53:14.000"
"118113","2017-02-09T05:02:00.000","2017-02-09T08:53:14.000"
"115131","2017-02-09T08:37:00.000","2017-02-09T08:53:14.000"
"2751","2017-02-09T08:40:00.000","2017-02-09T08:53:14.000"
"2750","2017-02-09T08:41:00.000","2017-02-09T08:53:14.000"
"4016","2017-02-09T08:37:00.000","2017-02-09T08:53:14.000"
"3320","2017-02-09T08:43:00.000","2017-02-09T08:53:14.000"
"53812","2017-02-09T08:04:00.000","2017-02-09T08:53:14.000"
"2752","2017-02-09T06:43:00.000","2017-02-09T08:53:14.000"
"2749","2017-02-09T08:41:00.000","2017-02-09T08:53:14.000"
"4092","2017-02-09T05:18:00.000","2017-02-09T08:53:14.000"
"4325","2017-02-09T08:10:00.000","2017-02-09T08:53:14.000"
"2099","2017-02-09T08:49:00.000","2017-02-09T08:53:14.000"
"2098","2017-02-09T08:49:00.000","2017-02-09T08:53:14.000"
"4091",,"2017-02-09T08:53:14.000"
"81203","2017-02-09T08:42:00.000","2017-02-09T08:53:14.000"
"4108","2017-02-09T05:48:00.000","2017-02-09T08:53:14.000"
"3471","2017-02-09T08:31:00.000","2017-02-09T08:53:14.000"
"101930",,"2017-02-09T08:53:14.000"
"2097","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"81204","2017-02-09T08:51:00.000","2017-02-09T08:53:14.000"
"3470","2017-02-09T08:33:00.000","2017-02-09T08:53:14.000"
"2095","2017-02-09T08:51:00.000","2017-02-09T08:53:14.000"
"2096","2017-02-09T08:50:00.000","2017-02-09T08:53:14.000"
"115076",,"2017-02-09T08:53:14.000"
"2741","2017-02-09T08:41:00.000","2017-02-09T08:53:14.000"
"3469","2017-02-09T08:49:00.000","2017-02-09T08:53:14.000"
"91515","2017-02-09T08:47:00.000","2017-02-09T08:53:14.000"
"72700","2017-02-09T08:39:00.000","2017-02-09T08:53:14.000"
